date,SR3_SPREAD_R4_R3
2023-05-04,-7.904845116735171e-05
2023-05-05,0.00015776865820638086
2023-05-07,5.265097667572771e-05
2023-05-08,2.6283198552690124e-05
2023-05-09,0.00015795013613850717
2023-05-10,-0.00023706114189181449
2023-05-11,5.2638496234602705e-05
2023-05-12,2.628596206055711e-05
2023-05-14,-0.0
2023-05-15,0.0001316537737332535
2023-05-16,-2.635184660837453e-05
2023-05-17,-0.00044787384029287836
2023-05-18,-5.2967448077922974e-05
2023-05-19,0.0002636644079416772
2023-05-21,0.00023723541661158087
2023-05-22,0.0002107481354649554
2023-05-23,5.270646003563417e-05
2023-05-24,-0.00015829184746740665
2023-05-25,-0.00013208772571060567
2023-05-26,0.00010563427086907051
2023-05-28,0.0001320271447808885
2023-05-29,2.6431235794044383e-05
2023-05-30,-0.00013204108953035476
2023-05-31,0.0001322050053929047
2023-06-01,-0.00010555621478558486
2023-06-02,-0.0003695101238138099
2023-06-04,0.0
2023-06-05,8.780902871485807e-08
2023-06-06,0.0001584994403169837
2023-06-07,2.6341355173209458e-05
2023-06-08,-5.2773233415903675e-05
2023-06-09,5.272587420745989e-05
2023-06-11,-2.6389402016047114e-05
2023-06-12,-0.00010559662090814381
2023-06-13,-2.6176904849517513e-05
2023-06-14,-5.269805698504548e-05
2023-06-15,-0.00010555203715423289
2023-06-16,2.630031534711641e-05
2023-06-18,-2.637617703693529e-05
2023-06-19,-7.92169427004108e-05
2023-06-20,7.91306182740259e-05
2023-06-21,0.0006594740035348323
2023-06-22,-0.000184780846098076
2023-06-23,-0.00010556874223133228
2023-06-25,0.0
2023-06-26,7.917656373701565e-05
2023-06-27,-0.00010560219652555602
2023-06-28,-0.0002112266990547118
2023-06-29,2.630645014456423e-05
2023-06-30,-0.00021130480718445366
2023-07-02,0.0
2023-07-03,0.0
2023-07-04,0.0
2023-07-05,-2.6399155226952686e-05
2023-07-06,7.903357528782351e-05
2023-07-07,0.00013221204937141628
2023-07-09,0.0
2023-07-10,0.00013201320132016914
2023-07-11,-7.921837866398107e-05
2023-07-12,7.929162122821687e-05
2023-07-13,-7.92058295491227e-05
2023-07-14,-7.930554638024834e-05
2023-07-17,5.282202067458108e-05
2023-07-18,0.00015846605970293304
2023-07-19,-0.00036982248520711636
2023-07-20,0.0002903892348973258
2023-07-21,0.00010569009556404829
2023-07-23,0.0
2023-07-24,-0.00010574454902856356
2023-07-25,-0.00021143745225116195
2023-07-26,0.00015851628754859348
2023-07-27,5.2926775004014104e-05
2023-07-28,0.00013215137573452385
2023-07-30,0.0
2023-07-31,-2.6421475375126846e-05
2023-08-01,-2.640262156905493e-05
2023-08-02,0.0
2023-08-03,2.639913355084733e-05
2023-08-04,7.26229210101792e-08
2023-08-06,-0.00010569707219110214
2023-08-07,0.00010566077607843116
2023-08-08,0.0
