date,equity
2023-10-03,-2.7511018671420122e-33
2023-10-04,-2.7561287400016053e-33
2023-10-05,-2.736353919201276e-33
2023-10-06,-2.754705215453038e-33
2023-10-08,-2.705799492852082e-33
2023-10-09,-2.6623291373963302e-33
2023-10-10,-2.7244663583326045e-33
2023-10-11,-2.7328803214024785e-33
2023-10-12,-2.777234872571331e-33
2023-10-13,-2.7637662262446e-33
2023-10-15,-2.771847414040637e-33
2023-10-16,-2.750588718419218e-33
2023-10-17,-2.7376491665148955e-33
2023-10-18,-2.6796922537116385e-33
2023-10-19,-2.62072781352485e-33
2023-10-20,-2.6350413021725778e-33
2023-10-22,-2.6485960413812878e-33
2023-10-23,-2.623954965611945e-33
2023-10-24,-2.651089970426966e-33
2023-10-25,-2.6782249752419795e-33
2023-10-26,-2.6129440257124934e-33
2023-10-27,-2.6215298544212124e-33
2023-10-29,-2.6351129106617323e-33
2023-10-30,-2.7845265293075036e-33
2023-10-31,-2.784731262336014e-33
2023-11-01,-2.7094682552458513e-33
2023-11-02,-2.7261056565741925e-33
2023-11-03,-2.651050633580999e-33
2023-11-05,-2.6590922431874126e-33
2023-11-06,-2.686302312101074e-33
2023-11-07,-2.6807837311425234e-33
2023-11-08,-2.7759169542012107e-33
2023-11-09,-2.8068792962624324e-33
2023-11-10,-2.797150016376954e-33
2023-11-12,-2.7998709794279016e-33
2023-11-13,-2.764400493282179e-33
2023-11-14,-2.6527639020907933e-33
2023-11-15,-2.6974817178399622e-33
2023-11-16,-2.6854737042627113e-33
2023-11-17,-2.7046469217657934e-33
2023-11-19,-2.707527269925294e-33
2023-11-20,-2.7012411232734818e-33
2023-11-21,-2.7000879496909777e-33
2023-11-22,-2.692155436610759e-33
2023-11-23,-2.7040728282228458e-33
2023-11-24,-2.7051560876058724e-33
2023-11-26,-2.7005702729175752e-33
2023-11-27,-2.698105000899021e-33
2023-11-28,-2.6721593259638492e-33
2023-11-29,-2.6433696038932174e-33
2023-11-30,-2.6528095758192528e-33
2023-12-01,-2.623871151987911e-33
2023-12-03,-2.635818310779703e-33
2023-12-04,-2.635105445786935e-33
2023-12-05,-2.640679886910281e-33
2023-12-06,-2.6566376549939994e-33
2023-12-07,-2.656811941295141e-33
2023-12-08,-2.6714011058042702e-33
2023-12-10,-2.669923194511255e-33
2023-12-11,-2.666275020105809e-33
